,cov (all),f idx,cov (pref),cov (reg),dconnects
count,2991.0,2991.0,2991.0,2991.0,2991.0
mean,0.6440509862922099,0.6751383717928712,0.6492589698756114,0.6434694403029249,0.0
std,0.1411465212821475,0.13778069398141476,0.21714291356141335,0.14689322407200742,0.0
min,0.2753333333333334,0.29232695096792355,0.02388888888888922,0.26239130434782604,0.0
25%,0.5507777777777779,0.5777250319814866,0.4924999999999997,0.5394487983281087,0.0
50%,0.6388888888888887,0.6698511560270222,0.6538888888888889,0.6370138888888887,0.0
75%,0.7440000000000001,0.7689871435557075,0.811686507936508,0.7451796497584542,0.0
max,0.9946666666666665,0.999992166520238,0.9958333333333333,0.9946527777777776,0.0
