,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3376.0,3376.0,3376.0,3376.0,3376.0
mean,0.7167516291469194,0.7385528109141115,0.7260732456557397,0.7159144714873685,0.0
std,0.13213293674249613,0.1313957437498427,0.20397662753476614,0.13732052037396286,0.0
min,0.3292222222222222,0.3563979139886694,0.07666666666666676,0.3284,0.0
25%,0.6205972222222224,0.6400224253206267,0.5867916666666666,0.6227500000000001,0.0
50%,0.7184166666666665,0.7381043964636567,0.7391666666666664,0.7196390230810521,0.0
75%,0.8131666666666667,0.8356517374744352,0.9583333333333335,0.8158159722222221,0.0
max,0.9941666666666669,0.9999977957713194,0.9972222222222218,0.9941666666666666,0.0
