,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.6905622685185185,0.7125294733248143,0.6953346651162623,0.6901230802954014,4.875
std,0.14640314359962187,0.14406765661810636,0.22569375499013253,0.1514582216958791,77.69261349881101
min,0.04822222222222223,0.059972331141157305,0.0,0.060277777777777784,0.0
25%,0.5881111111111109,0.6071891338806669,0.556666666666667,0.58805,0.0
50%,0.6859444444444444,0.7049261570343428,0.7109280303030303,0.6923263888888889,0.0
75%,0.7882916666666666,0.8054586138906198,0.8603645833333331,0.800567480359147,0.0
max,0.9914444444444448,0.999995504179843,0.9916666666666669,0.9929999999999998,1764.0
