,cov (all),f idx,cov (pref),cov (reg),dconnects
count,1811.0,1811.0,1811.0,1811.0,1811.0
mean,0.633694521136266,0.6539569075416869,0.6364236977514173,0.6337051304976801,0.0
std,0.16102928659630097,0.15986171656415313,0.24549592398074174,0.1656292847940103,0.0
min,0.18244444444444458,0.19999312545160589,0.0,0.14440000000000006,0.0
25%,0.5210833333333333,0.537917858696781,0.4866666666666666,0.509927536231884,0.0
50%,0.6222777777777776,0.640801620084064,0.6516666666666667,0.6284,0.0
75%,0.7489722222222222,0.7676926295548252,0.8152777777777778,0.7470512820512821,0.0
max,0.9948888888888889,0.9999965642458994,0.9966666666666667,0.9945333333333334,0.0
