,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3398.0,3398.0,3398.0,3398.0,3398.0
mean,0.3287027074749853,0.8200113670242795,0.32697667060012553,0.32890202860910694,748.2345497351383
std,0.09040604721171569,0.11314410947744574,0.11453415478089413,0.0907138404401948,350.17493002813933
min,0.07623333333333333,0.483805536118576,0.0008333333333334636,0.0758943089430894,9.0
25%,0.2685416666666666,0.7512942726466367,0.24775000000000008,0.27032407407407405,485.0
50%,0.32961666666666656,0.8399334367911242,0.32687499999999997,0.3300761980267794,717.0
75%,0.3876416666666667,0.9114274352524383,0.4042916666666667,0.3888772233201581,996.0
max,0.5744333333333334,0.9955453598600886,0.6508333333333336,0.5770567375886525,1751.0
