,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3599.0,3600.0,3600.0
mean,0.7280638703703703,0.7567192499491875,0.7330138835408375,0.7272614261461665,10.045555555555556
std,0.1298354756019689,0.12334123937178548,0.1947685662112128,0.1314645651595792,114.82844946278063
min,0.16016666666666676,0.23040136077163623,0.0,0.15578947368421048,0.0
25%,0.6445166666666666,0.6726165100409428,0.6085416666666669,0.6443038493038493,0.0
50%,0.7373000000000001,0.7627777985929434,0.7542592592592592,0.7337121212121213,0.0
75%,0.8196416666666668,0.843621144006234,0.8769166666666666,0.8213259885439764,0.0
max,0.9880666666666665,0.999995721089715,0.9923333333333334,0.9876495726495725,2312.0
