,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.6973825617283951,0.7199647569649433,0.7031212820268723,0.6955127303836497,5.4927777777777775
std,0.14455082768825672,0.14313546165660826,0.22035142625734597,0.15069405445967152,71.04903975086452
min,0.10894444444444448,0.12627687370969587,0.0,0.07746913580246921,0.0
25%,0.589986111111111,0.6101053994611979,0.5621428571428573,0.5941097308488614,0.0
50%,0.7101944444444446,0.7346248247937596,0.7287500000000002,0.7038,0.0
75%,0.8100000000000002,0.8350771985396681,0.8695370370370368,0.8064980158730157,0.0
max,0.9964999999999997,0.9999978560039998,0.998333333333333,0.9967333333333329,1758.0
