,cov (all),f idx,cov (pref),cov (reg),dconnects
0,0.4746333333333333,0.929436639765987,0.44027777777777777,0.4793181818181818,911.0
1,0.6223000000000001,0.8840448937460313,0.5920833333333333,0.6365196078431373,854.0
2,0.4836,0.8724391996916152,0.4849999999999997,0.4834444444444445,646.0
3,0.33696666666666675,0.8971389003381216,0.3574074074074076,0.3324796747967479,742.0
4,0.47796666666666665,0.9152059555824011,0.42714285714285716,0.4862403100775193,605.0
5,0.6543333333333333,0.9351371119965175,0.6838888888888892,0.6503030303030305,131.0
6,0.4857333333333332,0.835183305709321,0.5201388888888888,0.47486842105263144,1004.0
7,0.8159666666666666,0.9891019310484271,0.8237500000000002,0.8152898550724637,300.0
8,0.4457,0.815283871748855,0.4327083333333332,0.44817460317460317,203.0
9,0.6382333333333335,0.9738038883081279,0.5586666666666669,0.6470740740740744,1427.0
10,0.6267,0.9497144724834697,0.612708333333333,0.6293650793650795,552.0
11,0.41409999999999975,0.912396073167422,0.31875000000000003,0.4223913043478259,242.0
12,0.24136666666666667,0.9050132950376413,0.27642857142857163,0.2356589147286821,480.0
13,0.5844333333333332,0.8714667041251958,0.4201851851851852,0.6204878048780489,497.0
14,0.6190666666666668,0.9342380248668467,0.5783333333333334,0.6226086956521741,993.0
15,0.5627333333333333,0.9152668498686679,0.5880952380952379,0.5586046511627908,536.0
16,0.4504000000000001,0.916491318955534,0.40683333333333327,0.4612916666666666,852.0
17,0.5002333333333333,0.9235944223455576,0.5078787878787879,0.4980769230769229,634.0
18,0.09653333333333335,0.7962645855288761,0.12791666666666676,0.09380434782608695,178.0
19,0.4525666666666667,0.86422506757658,0.3502380952380952,0.4692248062015504,408.0
20,0.19406666666666658,0.6691002909673776,0.27999999999999975,0.19231292517006793,605.0
21,0.5973999999999998,0.8988939340809052,0.6723333333333331,0.5786666666666666,496.0
22,0.4843999999999999,0.7879473276529821,0.5818333333333332,0.46004166666666657,154.0
23,0.5526000000000002,0.9459158633170411,0.564814814814815,0.5499186991869921,427.0
24,0.3940666666666667,0.7252470936341989,0.4106249999999998,0.3909126984126983,448.0
25,0.37729999999999997,0.7743047878922481,0.5537500000000005,0.36195652173913034,364.0
26,0.3930333333333332,0.8557453304227367,0.2793333333333332,0.40566666666666656,510.0
27,0.5357333333333333,0.941710052570562,0.5623809523809522,0.5253703703703703,424.0
28,0.5338333333333334,0.9457547548121527,0.49520833333333336,0.541190476190476,710.0
29,0.41490000000000005,0.8464402431125714,0.4436666666666666,0.40257142857142864,292.0
30,0.6310333333333333,0.8953530987540266,0.6118333333333335,0.6358333333333334,168.0
31,0.4585999999999998,0.9941885508091322,0.4816666666666664,0.45659420289855057,981.0
32,0.5828666666666669,0.9500936886984719,0.6071428571428574,0.5789147286821708,605.0
33,0.37749999999999995,0.880931906091626,0.36214285714285677,0.3799999999999999,1514.0
34,0.5058,0.836436685905596,0.4727777777777779,0.5103030303030303,80.0
35,0.4718333333333334,0.7990128784203665,0.6354166666666667,0.44067460317460316,122.0
0,0.4530666666666667,0.9086116487043583,0.47583333333333316,0.4499621212121211,717.0
1,0.5418,0.9162381842849253,0.5345238095238095,0.5429844961240311,405.0
2,0.292,0.9125998373109692,0.3125000000000001,0.2892045454545454,1092.0
3,0.3552333333333334,0.7468937084473658,0.3724358974358977,0.3491891891891892,40.0
4,0.5343666666666667,0.9517212683866384,0.5459523809523811,0.5324806201550386,996.0
5,0.3838333333333333,0.8836479915443973,0.37333333333333346,0.3858333333333333,655.0
6,0.5261666666666666,0.9603959317941657,0.465833333333333,0.5314130434782608,864.0
7,0.32263333333333327,0.7296837685292025,0.36583333333333323,0.31887681159420284,372.0
8,0.6943333333333334,0.9493646817676186,0.6185185185185187,0.7109756097560977,114.0
9,0.44073333333333337,0.9252118863609774,0.45266666666666655,0.4394074074074074,1011.0
10,0.5198333333333334,0.923513588278863,0.5662499999999997,0.5109920634920636,1052.0
11,0.3335666666666667,0.7924462750730508,0.29,0.33950757575757573,352.0
12,0.41363333333333313,0.9520711867959349,0.4408333333333331,0.4112681159420289,612.0
13,0.37406666666666655,0.8648295829519081,0.33166666666666667,0.38214285714285706,436.0
14,0.41680000000000006,0.8422016284897367,0.48722222222222217,0.41230496453900717,103.0
15,0.3660666666666667,0.8985757712126313,0.4180303030303032,0.3514102564102564,630.0
16,0.5569666666666667,0.9492234552377071,0.48595238095238097,0.5685271317829458,1122.0
17,0.3119333333333333,0.8987309497761689,0.296388888888889,0.3140530303030302,276.0
18,0.4689666666666666,0.9836513173833175,0.49515151515151506,0.4615811965811966,888.0
19,0.5025,0.8263953599367263,0.5568749999999998,0.49214285714285716,201.0
20,0.5555666666666667,0.9473127077125013,0.6061111111111114,0.5486742424242425,561.0
21,0.48589999999999994,0.8952731915750611,0.5561111111111111,0.48141843971631204,212.0
22,0.4010666666666666,0.8171345066539026,0.5063888888888889,0.3867045454545454,754.0
23,0.36760000000000004,0.8386554677479416,0.38785714285714257,0.36430232558139536,128.0
24,0.5611333333333335,0.8668573496424538,0.5052083333333335,0.5717857142857143,199.0
25,0.3080666666666667,0.8567149280692803,0.25062499999999993,0.3190079365079365,388.0
26,0.5089333333333333,0.9856340823518716,0.5416666666666671,0.5068439716312058,1722.0
27,0.5385333333333334,0.9136089319459947,0.5897222222222224,0.5315530303030304,249.0
28,0.6133000000000001,0.937415275997264,0.6446666666666666,0.6054583333333333,271.0
29,0.6982999999999998,0.965300291100788,0.6952083333333334,0.6988888888888887,288.0
30,0.42613333333333336,0.7277544658999213,0.4904545454545453,0.407991452991453,317.0
31,0.4907666666666667,0.9655084162006713,0.5158333333333333,0.4859920634920635,679.0
32,0.6032666666666667,0.97722828415431,0.5697916666666665,0.6096428571428572,677.0
33,0.4914000000000002,0.8552248084833595,0.5344444444444445,0.48195121951219533,1165.0
34,0.6151333333333333,0.9852948404476778,0.6094999999999999,0.6165416666666667,1273.0
35,0.5106666666666666,0.9875025612954285,0.4683333333333331,0.5143478260869564,820.0
0,0.45309999999999995,0.7888585693911447,0.44944444444444454,0.45390243902439015,213.0
1,0.48339999999999994,0.9853570366011297,0.4626666666666666,0.48570370370370375,744.0
2,0.5063,0.9450843457644824,0.5491666666666668,0.49813492063492065,1361.0
3,0.5331333333333333,0.8255094278734604,0.547,0.5315925925925926,355.0
4,0.5102666666666666,0.918558606726862,0.5088333333333334,0.5106249999999999,978.0
5,0.5775333333333332,0.9154604256388447,0.5533333333333333,0.5814728682170541,259.0
6,0.4426,0.9251349696309805,0.416969696969697,0.4498290598290598,892.0
7,0.5127000000000002,0.9900553480633825,0.48357142857142843,0.5174418604651164,934.0
