,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.6333972067901235,0.6589730403714389,0.6392315321008725,0.6318671322797988,4.995833333333334
std,0.15227688173625945,0.14781317285827478,0.23529847228590905,0.15682879802410615,69.39675954597648
min,0.04866666666666664,0.06000000000000002,0.0,0.05839999999999997,0.0
25%,0.5259305555555555,0.5639538296103126,0.4887499999999999,0.5268910256410257,0.0
50%,0.6234999999999999,0.6519586412749341,0.6530092592592591,0.6278333333333332,0.0
75%,0.7336944444444444,0.7666008797864697,0.8120138888888887,0.7352931488801053,0.0
max,0.9918888888888888,0.9999929048615929,0.9961111111111113,0.9917424242424242,1530.0
