,cov (all),f idx,cov (pref),cov (reg),dconnects
count,720.0,720.0,720.0,720.0,720.0
mean,0.8687404629629629,0.8860558478964216,0.8822356342667108,0.8665233576744104,0.0
std,0.15208558466937858,0.15168670327860073,0.17205889212894826,0.15384143197950784,0.0
min,0.0,0.0599999615231448,0.0,0.0,0.0
25%,0.8266249999999999,0.8409796249875283,0.8435119047619044,0.8239423076923077,0.0
50%,0.9188333333333334,0.9399371700399858,0.9766666666666662,0.9131050818260122,0.0
75%,0.9653833333333333,0.9802555379518436,0.9829282407407407,0.9650624274099886,0.0
max,0.9974666666666662,1.0,0.9976666666666667,0.9974444444444439,0.0
