,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.770950725308642,0.7948249710922742,0.773127411400328,0.7701363802831896,3.8975
std,0.125355380435313,0.12290364752593884,0.19637997723382725,0.1313303256052533,66.72147941112868
min,0.2279444444444444,0.23675160811305496,0.0,0.21697530864197528,0.0
25%,0.6841666666666666,0.7056261948254778,0.6522222222222224,0.6797352285395764,0.0
50%,0.7808333333333333,0.8026693594982983,0.8055555555555557,0.7801666666666667,0.0
75%,0.8716111111111112,0.8999689393745378,0.972142857142857,0.8682371794871795,0.0
max,0.9951111111111111,0.9999954795049251,0.9941666666666666,0.9952564102564102,1743.0
