,cov (all),f idx,cov (pref),cov (reg),dconnects
count,720.0,720.0,720.0,720.0,720.0
mean,0.6326223148148148,0.6540356039361339,0.6929177638921461,0.6224506806200949,0.0
std,0.20184620275030216,0.2016792287023641,0.23470756007335664,0.20540531351966615,0.0
min,0.0,0.03999997112601329,0.0,0.0,0.0
25%,0.5115666666666666,0.5244548192362635,0.544074074074074,0.5022278574962888,0.0
50%,0.6454,0.6618954308965249,0.7304166666666672,0.6374566059993259,0.0
75%,0.7668499999999998,0.8000119741776771,0.867361111111111,0.7663925573300574,0.0
max,0.9932999999999998,1.0,0.9935714285714283,0.9932558139534883,0.0
