,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3599.0,3600.0,3600.0
mean,0.7428525833333333,0.7782212190792347,0.7476653296797934,0.7422581198466469,13.421666666666667
std,0.11814653709624381,0.11208216677477767,0.18164223927239148,0.120306469916967,141.94002536361012
min,0.21946666666666675,0.25393553587422807,0.0,0.20686991869918714,0.0
25%,0.6666916666666665,0.7060035619166025,0.6341220238095239,0.666128841607565,0.0
50%,0.7471666666666666,0.7827690375473375,0.768452380952381,0.7457729538048685,0.0
75%,0.8210333333333333,0.8536801857194405,0.8860052910052909,0.82346875,0.0
max,0.9892,0.9999951089923567,0.9930952380952381,0.9890952380952379,2344.0
