,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.7379935030864199,0.7680037309040106,0.7441195349712016,0.7365590185785047,20.10638888888889
std,0.1474973101161045,0.14047536503591426,0.21612688649200706,0.1518420328819761,143.07530728470914
min,0.010333333333333335,0.050982533855194,0.0,0.011014492753623187,0.0
25%,0.6528194444444444,0.6832277241635688,0.6107812500000004,0.6506076388888888,0.0
50%,0.7484166666666668,0.7729907980756072,0.7776875000000003,0.7504195804195803,0.0
75%,0.8444583333333332,0.8689613164788106,0.9666666666666665,0.84560625,0.0
max,0.9930555555555552,0.9999965002161249,0.9943333333333333,0.9930434782608691,1734.0
