,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.7149438888888888,0.735884410888119,0.7120091387933054,0.7152536908684216,2.013611111111111
std,0.1358483129323209,0.1345392000856005,0.22145015826299166,0.14110960644942583,42.15285411506557
min,0.2921666666666666,0.33137582978664465,0.0,0.22969696969696976,0.0
25%,0.6203194444444444,0.6387537184479347,0.5843333333333336,0.6172855750487329,0.0
50%,0.7170277777777778,0.7362558574917044,0.734895833333333,0.7205530129672008,0.0
75%,0.8148888888888888,0.8352046038091466,0.8749351851851853,0.8180166666666667,0.0
max,0.9951666666666664,0.9999975496737648,0.9951666666666663,0.9951666666666663,1172.0
