,cov (all),f idx,cov (pref),cov (reg),dconnects
count,2993.0,2993.0,2993.0,2993.0,2993.0
mean,0.747662913464751,0.7726751068486919,0.7613127556989441,0.7457429894136209,0.0
std,0.11719975135769814,0.11411033882205734,0.17908355217970912,0.12017899875315162,0.0
min,0.39426666666666677,0.42740166303766725,0.20200000000000026,0.3902651515151517,0.0
25%,0.665,0.6889702462431276,0.6488888888888887,0.663409090909091,0.0
50%,0.7444666666666666,0.7665124435314843,0.7823333333333335,0.7456976744186049,0.0
75%,0.8356666666666667,0.8613892537683473,0.9585185185185183,0.834563492063492,0.0
max,0.9915999999999998,0.9999933932184643,0.9948148148148148,0.9918650793650793,0.0
