,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3346.0,3346.0,3346.0,3346.0,3346.0
mean,0.6761077073786279,0.6998088753522583,0.6804292306244263,0.6755433094323566,0.0
std,0.14144047018768371,0.13793196739955896,0.21789697159478677,0.14804170072997833,0.0
min,0.2895555555555556,0.30446212332423456,0.0020833333333333953,0.2649333333333333,0.0
25%,0.5831805555555556,0.6023178432755116,0.5090277777777779,0.5717534722222222,0.0
50%,0.6810277777777779,0.7011521503323208,0.6958928571428573,0.6768436454849499,0.0
75%,0.7785,0.8005240454201386,0.8376190476190477,0.7777777777777776,0.0
max,0.9926666666666664,0.9999944507421547,0.995,0.9923333333333332,0.0
