,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3367.0,3367.0,3367.0,3367.0,3367.0
mean,0.7244304689304689,0.7533889279522308,0.7313976328454351,0.7236498251079239,0.0
std,0.1345054186373648,0.1276696841537152,0.20016150925326182,0.1403728222067932,0.0
min,0.3282222222222223,0.38331791816652777,0.0338888888888888,0.3165909090909092,0.0
25%,0.6256111111111111,0.6681190823018931,0.5948333333333333,0.6241121212121212,0.0
50%,0.7197222222222222,0.74397740180335,0.7408333333333333,0.727638888888889,0.0
75%,0.8172777777777778,0.838856200742643,0.9580555555555558,0.8262114197530865,0.0
max,0.9959444444444446,0.9999945586986303,0.9963888888888882,0.9989102564102562,0.0
