,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3132.0,3132.0,3132.0,3132.0,3132.0
mean,0.8785927203065134,0.9021791294104692,0.8932510876671604,0.8762634482254141,0.0
std,0.07151389938800869,0.07002863236710616,0.10600936970994373,0.07533694592491864,0.0
min,0.6563333333333334,0.6839502881775027,0.5657142857142855,0.6547685185185185,0.0
25%,0.83595,0.8611144508091705,0.8194444444444443,0.8272579284750338,0.0
50%,0.8831833333333334,0.9039777083976498,0.9683333333333333,0.8853287037037036,0.0
75%,0.9367583333333334,0.9604556647742455,0.9769999999999993,0.9343756613756613,0.0
max,0.9969999999999996,0.9999965092349924,0.9988888888888886,0.9967424242424237,0.0
