#{"t_start": 1656161009.2926905, "env_id": "uav-v6"}
r,l,t
-1044.994351,600,32.024086
-716.713293,600,63.03705
-1063.4392,600,93.90973
-490.3519,600,151.318293
-329.598464,600,181.93408
-609.999262,600,238.779804
-372.352957,600,296.375725
-128.590082,600,327.391684
-349.012994,600,357.902678
-808.827013,600,388.345665
-441.205199,600,470.081325
-153.535777,600,501.160423
-262.979673,600,532.321676
-148.050531,600,590.570356
-173.671446,600,621.885144
-138.88988,600,679.093521
-264.652727,600,710.30294
-135.983896,600,768.279203
-131.377785,600,799.421427
-30.456944,600,830.54883
-92.290233,600,911.778832
-74.8769,600,941.972034
-50.380742,600,972.017278
-81.608331,600,1026.725808
-66.471635,600,1056.796812
-59.92879,600,1086.888017
-69.327442,600,1141.473058
-258.900416,600,1196.023744
-65.18041,600,1226.033527
-70.562334,600,1255.967829
-131.458449,600,1310.677986
-33.945151,600,1365.377324
-44.193323,600,1395.492836
-31.405845,600,1425.594448
-164.733627,600,1480.597657
-41.6266,600,1510.634171
-29.908051,600,1565.052891
-191.784168,600,1619.508561
-14.521645,600,1649.509388
-7.119912,600,1679.515233
-8.489378,600,1733.947032
-42.764034,600,1788.317147
-342.135475,600,1818.296029
-45.033472,600,1848.280098
-42.009999,600,1903.082989
-6.104985,600,1933.089346
-132.486449,600,1987.463299
-25.943173,600,2042.005055
-5.125891,600,2072.67444
-13.047196,600,2103.251659
-16.732415,600,2133.8789
-7.114361,600,2189.399343
-48.285264,600,2244.861413
-32.83618,600,2275.542369
-31.781802,600,2331.413042
-28.949229,600,2362.097727
-4.50975,600,2392.780255
-1.134722,600,2448.251899
-3.040822,600,2503.76587
-1.444875,600,2533.988384
-19.906191,600,2564.506233
-12.521209,600,2619.92943
3.035628,600,2675.008379
0.227169,600,2705.526568
-2.186929,600,2760.288638
-13.550894,600,2790.953796
0.809485,600,2821.74848
-13.404742,600,2877.687942
-5.398614,600,2933.864732
-0.775352,600,2964.603455
-0.807314,600,2995.614384
1.634247,600,3051.685388
0.172246,600,3107.684129
-5.975074,600,3138.407481
-3.766787,600,3169.12964
-27.572946,600,3224.90195
-43.414202,600,3255.404777
-6.113596,600,3285.872198
5.728032,600,3366.407436
-2.488541,600,3396.944094
1.283427,600,3427.503441
2.69998,600,3483.534109
-27.290269,600,3514.093469
6.743603,600,3569.621463
-5.297359,600,3600.173836
-18.091022,600,3656.378678
-0.000829,600,3687.089346
1.589252,600,3717.796708
-15.946131,600,3798.688347
-1.618127,600,3828.75069
-17.194568,600,3858.877634
7.221803,600,3892.023215
2.978556,600,3950.29222
2.235071,600,4006.016145
-16.561527,600,4036.660245
0.734899,600,4092.423082
-5.296331,600,4122.989718
-0.312528,600,4153.544813
-25.75444,600,4234.415424
-6.749009,600,4265.001782
-44.727791,600,4295.64396
-1.977824,600,4326.25692
3.225549,600,4382.176789
-2.296239,600,4412.800286
1.323703,600,4468.350703
-45.526012,600,4524.191483
-18.435512,600,4554.767284
0.328443,600,4585.363037
