,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.5783028703703704,0.8989893236329659,0.5787035976677645,0.5783135055101823,742.8822222222223
std,0.12774298780149185,0.09236061029318876,0.14602586043421537,0.12781061922837675,355.93545377305685
min,0.019666666666666686,0.19398161047645593,0.02749999999999999,0.018174603174603197,9.0
25%,0.5039083333333334,0.8646513056395214,0.4925883838383839,0.5031412337662338,467.0
50%,0.5905666666666667,0.9275771032603235,0.5918981481481482,0.5899572649572649,712.0
75%,0.6624750000000001,0.9624514746834036,0.6783796296296298,0.6624039392179638,979.25
max,0.9753666666666666,0.999755225192904,0.9858333333333331,0.9751449275362319,1936.0
