,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.630631512345679,0.6579126253632377,0.6339602499789306,0.6286360683455452,16.356666666666666
std,0.15116852513586856,0.15223692644323375,0.23208148086903888,0.15654905563846766,139.12535904468925
min,0.06572222222222227,0.06666547577706737,0.0,0.10377192982456147,0.0
25%,0.5217083333333332,0.5491232133807568,0.48749999999999993,0.5201420289855072,0.0
50%,0.6230833333333332,0.6607320122815423,0.6512500000000002,0.6272333333333331,0.0
75%,0.7348888888888888,0.7668834459533086,0.8053030303030302,0.7352256944444445,0.0
max,0.983166666666667,0.9999952162886289,1.0,0.9828260869565222,1752.0
