,cov (all),f idx,cov (pref),cov (reg),dconnects
0,0.8208666666666667,0.8436933699021061,0.6533333333333337,0.8315602836879433,0.0
1,0.21823333333333322,0.21999414898380937,0.24875,0.21557971014492744,0.0
2,0.5309666666666666,0.5399740880238941,0.5474074074074075,0.5273577235772356,0.0
3,0.8016333333333333,0.8224051416887271,0.8545833333333335,0.7915476190476188,0.0
4,0.7681999999999999,0.7802443693134528,0.8083333333333336,0.7568803418803418,0.0
5,0.7433333333333333,0.7616243861931403,0.7860000000000003,0.7385925925925924,0.0
6,0.8394333333333333,0.8607537043605932,0.7806666666666668,0.8541249999999998,0.0
7,0.8546666666666667,0.8800535574514375,0.9666666666666665,0.8475177304964536,0.0
8,0.6492666666666669,0.6600564904028082,0.6883333333333332,0.6395000000000002,0.0
9,0.5105,0.5199910677853998,0.4916666666666669,0.5130681818181817,0.0
10,0.6836333333333334,0.7010630573946426,0.976875,0.6277777777777778,0.0
11,0.237,0.23999504363170773,0.1978333333333334,0.24679166666666666,0.0
12,0.5291333333333333,0.5414496006016496,0.7789999999999999,0.5013703703703704,0.0
13,0.5676333333333333,0.5799667803953131,0.3652083333333336,0.6061904761904762,0.0
14,0.8573666666666665,0.8806448128740811,0.7337500000000005,0.8681159420289852,0.0
15,0.8194333333333332,0.8399700538814688,0.9741666666666664,0.7899603174603177,0.0
16,0.9389333333333331,0.9599848616306824,0.9772222222222218,0.936489361702127,0.0
17,0.9231666666666666,0.9399369358367907,0.9886363636363638,0.9047008547008547,0.0
18,0.6999333333333335,0.7231826557931321,0.8716666666666668,0.6570000000000003,0.0
19,0.7277666666666665,0.7418600134978466,0.7014285714285713,0.7320542635658913,0.0
20,0.49189999999999984,0.4999863942126506,0.7843333333333327,0.4594074074074073,0.0
21,0.5312333333333333,0.5418436013826202,0.5583333333333335,0.5268217054263566,0.0
22,0.8201,0.8424780191924741,0.018333333333333257,0.8364625850340136,0.0
23,0.6673333333333332,0.6799895626456728,0.6122916666666665,0.6778174603174602,0.0
24,0.9722999999999999,0.9799830686017061,0.9916666666666664,0.9680487804878046,0.0
25,0.7046333333333333,0.7232361036266984,0.7816666666666668,0.685375,0.0
26,0.5480333333333336,0.5634835770780876,0.2487500000000003,0.574057971014493,0.0
27,0.5521999999999998,0.560567340017134,0.36958333333333326,0.5869841269841268,0.0
28,0.6023666666666666,0.622365346695138,0.9704166666666665,0.5703623188405799,0.0
29,0.13766666666666663,0.1399981614720043,0.0,0.15643939393939388,0.0
30,0.5893333333333334,0.6007993810995098,0.7370833333333332,0.5611904761904762,0.0
31,0.722,0.7412611543343712,0.8690740740740739,0.6897154471544716,0.0
32,0.7031666666666666,0.7203100690746498,0.7848333333333335,0.68275,0.0
33,0.6612000000000002,0.6850709965635623,0.9600000000000004,0.635217391304348,0.0
34,0.19703333333333337,0.19999674303365525,0.19666666666666674,0.19707407407407412,0.0
35,0.4105333333333334,0.42023136517421106,0.6120833333333333,0.3721428571428572,0.0
0,0.8601666666666665,0.8810348969047854,0.9838888888888887,0.8522695035460992,0.0
1,0.5495,0.5639695157250043,0.7295833333333335,0.5151984126984127,0.0
2,0.7226333333333333,0.7437010906704639,0.9758333333333336,0.674404761904762,0.0
3,0.5686666666666668,0.583636404472031,0.4905555555555557,0.5793181818181817,0.0
4,0.47230000000000005,0.4799924472409656,0.9836111111111111,0.40257575757575753,0.0
5,0.7067999999999999,0.7199850113087755,0.8186111111111107,0.6915530303030303,0.0
