,cov (all),f idx,cov (pref),cov (reg),dconnects
count,720.0,720.0,720.0,720.0,720.0
mean,0.716749212962963,0.7353742641305995,0.7560138420746979,0.7100595962276731,0.0
std,0.1985170577052938,0.20021179034712255,0.2403969560760265,0.19899987744428477,0.0
min,0.0,0.02,0.0,0.0,0.0
25%,0.6261333333333334,0.6401081798409363,0.6484722222222224,0.6167814922480621,0.0
50%,0.7463333333333333,0.7627576405332703,0.8137499999999995,0.7404629629629629,0.0
75%,0.85615,0.87996974637298,0.9745238095238093,0.8481904644268776,0.0
max,0.993,1.0,0.9964285714285711,0.9929166666666664,0.0
