,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3004.0,3004.0,3004.0,3004.0,3004.0
mean,0.7216570313655866,0.7455642996943169,0.728888679678252,0.720821432017651,0.0
std,0.13138601104314993,0.12856323882152476,0.2022940752679134,0.13636290894708464,0.0
min,0.3226111111111111,0.36845017480521325,0.1320833333333334,0.32775641025641034,0.0
25%,0.6227638888888889,0.6458566088132316,0.5863333333333334,0.6269666666666668,0.0
50%,0.7187222222222223,0.7391013277162816,0.7395833333333331,0.7241666666666665,0.0
75%,0.8156249999999998,0.8365256008529205,0.9598541666666668,0.8209843117408908,0.0
max,0.9945555555555555,0.9999950433199407,0.994166666666667,0.9950757575757578,0.0
