,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3424.0,3424.0,3424.0,3424.0,3424.0
mean,0.23517954958463136,0.25600850029272637,0.23431298205272358,0.2346080862943979,0.0
std,0.12329309689602849,0.12283615812189812,0.1963425430566165,0.12746574277338832,0.0
min,5.555555555556609e-05,0.03333333333333333,0.0,0.0,0.0
25%,0.14350000000000002,0.1607279020594375,0.055520833333333346,0.13611515151515152,0.0
50%,0.22852777777777777,0.24952812910641675,0.20200000000000007,0.22404583333333333,0.0
75%,0.3220277777777778,0.336376006473711,0.36390625000000004,0.3206974637681159,0.0
max,0.6084999999999998,0.6331439414629975,0.8591666666666663,0.6076190476190475,0.0
