,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3309.0,3309.0,3309.0,3309.0,3309.0
mean,0.7466273496524629,0.7813677125070889,0.7547033939335549,0.7457405573592241,0.0
std,0.11001941753210102,0.10477449413588735,0.17072721101566943,0.1124485638341767,0.0
min,0.43529999999999996,0.4872426488323423,0.2601851851851852,0.4316666666666666,0.0
25%,0.6729333333333333,0.711305134988791,0.6458333333333334,0.6715277777777778,0.0
50%,0.7487333333333334,0.7840906303369952,0.7723333333333333,0.7466666666666664,0.0
75%,0.8197,0.8514632340201054,0.8848484848484851,0.8212698412698413,0.0
max,0.9892,0.9999951089923567,0.9930952380952381,0.9890952380952379,0.0
