,cov (all),f idx,cov (pref),cov (reg),dconnects
count,3600.0,3600.0,3600.0,3600.0,3600.0
mean,0.6102201080246914,0.6350546207729288,0.6092357118203299,0.6103442176712235,16.849722222222223
std,0.13607341581677684,0.13291346189354822,0.22112497744825269,0.14555432179116182,134.1088248780656
min,0.00011111111111111552,0.03333333333333333,0.0,0.00015873015873016505,0.0
25%,0.5226111111111112,0.5526815651948636,0.4850000000000001,0.5157954545454547,0.0
50%,0.6167222222222222,0.6353401341219573,0.6152083333333336,0.6131155303030303,0.0
75%,0.6982222222222221,0.7331598780363526,0.7652083333333334,0.7068400621118013,0.0
max,0.9950555555555555,0.9999946578636865,0.9953333333333335,0.9950980392156862,1743.0
